,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
182,128,64,1.0,1.0,0.0,9.601116180419922e-05,4.802877034435142e-06
183,128,64,0.1,0.996875,0.009375,8.971691131591797e-05,4.452814046514681e-06
184,128,64,0.01,1.0,0.0,8.776187896728516e-05,1.203718715797838e-06
185,128,64,0.001,0.996875,0.009375,8.814334869384765e-05,3.554036593095258e-06
186,128,64,0.0001,0.99375,0.01875,8.971691131591797e-05,4.871038027637423e-06
187,128,64,1e-05,1.0,0.0,9.145736694335938e-05,7.149536766559985e-06
188,128,64,1e-06,1.0,0.0,8.816719055175782e-05,1.9970313636180804e-06
189,128,64,1e-07,1.0,0.0,8.933544158935547e-05,2.5029409087410856e-06
190,128,64,1e-08,1.0,0.0,9.090900421142578e-05,2.9645507231399375e-06
191,128,64,1e-09,1.0,0.0,9.000301361083984e-05,9.431858274866334e-07
192,128,64,1e-10,1.0,0.0,9.01937484741211e-05,1.617209232531702e-06
193,128,64,10000.0,1.0,0.0,9.47713851928711e-05,1.0614983138791916e-05
194,128,64,100000000.0,1.0,0.0,9.200572967529296e-05,3.2680743519322228e-06
195,128,128,1.0,1.0,0.0,0.00010552406311035157,2.666756303865337e-05
196,128,128,0.1,0.99140625,0.025781250000000002,8.907318115234376e-05,1.2363422950520911e-05
197,128,128,0.01,1.0,0.0,8.676052093505859e-05,8.246974125869936e-06
198,128,128,0.001,1.0,0.0,8.614063262939453e-05,4.119953070852371e-06
199,128,128,0.0001,1.0,0.0,9.145736694335938e-05,7.526780518484361e-06
200,128,128,1e-05,1.0,0.0,8.349418640136718e-05,2.9698189962425274e-06
201,128,128,1e-06,1.0,0.0,0.0001094818115234375,3.702676610777033e-05
202,128,128,1e-07,1.0,0.0,8.401870727539062e-05,4.356214750502109e-06
203,128,128,1e-08,1.0,0.0,8.602142333984375e-05,8.798130146110248e-06
204,128,128,1e-09,1.0,0.0,8.792877197265625e-05,1.3300167132712285e-05
205,128,128,1e-10,0.99296875,0.02109375,9.799003601074219e-05,2.3466735461920045e-05
206,128,128,10000.0,1.0,0.0,8.652210235595703e-05,6.791749846052716e-06
207,128,128,100000000.0,1.0,0.0,8.974075317382812e-05,1.5623677000272255e-05
