,nr,nc,shift,acc_mean,acc_std,time_mean,time_std
66,64,128,1.0,1.0,0.0,6.597042083740234e-05,1.1827580218136275e-06
67,64,128,100.0,1.0,0.0,6.661415100097656e-05,1.508645250278127e-06
68,64,128,10000.0,1.0,0.0,6.804466247558593e-05,6.129908123597656e-06
69,64,128,1000000.0,1.0,0.0,6.520748138427734e-05,2.0900757736151808e-06
70,64,128,100000000.0,1.0,0.0,6.601810455322265e-05,1.1506012451184895e-06
71,64,128,10000000000.0,1.0,0.0,6.945133209228516e-05,7.478936595079791e-06
72,128,4,1.0,1.0,0.0,7.736682891845703e-05,8.212992328693474e-06
73,128,4,100.0,1.0,0.0,7.562637329101562e-05,3.492323574752914e-06
74,128,4,10000.0,1.0,0.0,7.369518280029297e-05,1.4906405479755958e-06
75,128,4,1000000.0,1.0,0.0,7.364749908447265e-05,1.2084318063234507e-06
76,128,4,100000000.0,1.0,0.0,7.371902465820312e-05,1.0215895312132142e-06
77,128,4,10000000000.0,1.0,0.0,7.441043853759766e-05,2.915051060530877e-06
78,128,16,1.0,1.0,0.0,7.43865966796875e-05,1.6518123698891422e-06
79,128,16,100.0,1.0,0.0,7.49826431274414e-05,1.4155318840787312e-06
80,128,16,10000.0,1.0,0.0,8.07046890258789e-05,1.9091433783413023e-05
81,128,16,1000000.0,1.0,0.0,7.457733154296875e-05,1.4415947397070861e-06
82,128,16,100000000.0,1.0,0.0,7.593631744384766e-05,3.460356366478633e-06
83,128,16,10000000000.0,1.0,0.0,7.433891296386719e-05,7.893059424041198e-07
84,128,64,1.0,1.0,0.0,7.970333099365235e-05,2.7702761559811487e-06
85,128,64,100.0,1.0,0.0,8.060932159423829e-05,3.470526188118541e-06
86,128,64,10000.0,1.0,0.0,7.920265197753906e-05,1.2425245495601064e-06
87,128,64,1000000.0,1.0,0.0,7.901191711425781e-05,1.4313059825709947e-06
88,128,64,100000000.0,1.0,0.0,7.903575897216797e-05,1.2894456179609261e-06
89,128,64,10000000000.0,1.0,0.0,7.913112640380859e-05,1.3034760411106724e-06
90,128,128,1.0,1.0,0.0,7.722377777099609e-05,4.022779252641566e-06
91,128,128,100.0,1.0,0.0,7.855892181396484e-05,2.9859488020255366e-06
92,128,128,10000.0,1.0,0.0,7.960796356201171e-05,4.395510167955483e-06
93,128,128,1000000.0,1.0,0.0,8.306503295898437e-05,2.2593025614623604e-05
94,128,128,100000000.0,1.0,0.0,7.061958312988281e-05,2.504643628438739e-06
95,128,128,10000000000.0,1.0,0.0,7.009506225585938e-05,1.2615925364802316e-06
