,nr,nc,shift,acc_mean,acc_std,time_mean,time_std
77,128,4,10000000000.0,1.0,0.0,7.004737854003907e-05,1.6818229759739303e-06
78,128,16,1.0,1.0,0.0,7.050037384033203e-05,1.3276725570989469e-06
79,128,16,100.0,1.0,0.0,7.109642028808593e-05,1.3180041276059392e-06
80,128,16,10000.0,1.0,0.0,7.088184356689453e-05,1.1584787953621236e-06
81,128,16,1000000.0,1.0,0.0,7.0953369140625e-05,1.2259445316488686e-06
82,128,16,100000000.0,1.0,0.0,7.131099700927735e-05,1.92647523145826e-06
83,128,16,10000000000.0,1.0,0.0,7.107257843017579e-05,1.1798708945902464e-06
84,128,64,1.0,1.0,0.0,8.745193481445313e-05,1.754605244920168e-06
85,128,64,100.0,1.0,0.0,8.7738037109375e-05,2.6952901384472997e-06
86,128,64,10000.0,1.0,0.0,8.635520935058593e-05,1.6750495977640435e-06
87,128,64,1000000.0,1.0,0.0,8.568763732910156e-05,1.5347935618811683e-06
88,128,64,100000000.0,1.0,0.0,8.592605590820312e-05,1.2980134571853828e-06
89,128,64,10000000000.0,1.0,0.0,8.58306884765625e-05,1.2839233415447482e-06
90,128,128,1.0,1.0,0.0,8.392333984375e-05,3.6314836053199332e-06
91,128,128,100.0,1.0,0.0,8.676052093505859e-05,3.952934025587515e-06
92,128,128,10000.0,1.0,0.0,8.542537689208985e-05,2.7351713577527356e-06
93,128,128,1000000.0,1.0,0.0,8.285045623779297e-05,2.3656361907204897e-06
94,128,128,100000000.0,1.0,0.0,7.529258728027344e-05,5.7634208804755684e-06
95,128,128,10000000000.0,1.0,0.0,6.511211395263672e-05,2.04109141596074e-06
