,nr,nc,factor,acc_mean,acc_std,time_mean,time_std
49,16,16,0.0001,1.0,0.0,8.230209350585937e-05,3.457973625052622e-06
50,16,16,1e-05,1.0,0.0,8.087158203125e-05,9.524814775199021e-07
51,16,16,1e-06,1.0,0.0,8.108615875244141e-05,1.823395615100755e-06
52,16,16,1e-07,1.0,0.0,8.101463317871094e-05,1.224088444995254e-06
53,16,16,1e-08,1.0,0.0,8.378028869628906e-05,8.207418905283923e-06
54,16,64,1.0,1.0,0.0,8.168220520019532e-05,2.0708132505997143e-06
55,16,64,0.1,1.0,0.0,8.22305679321289e-05,3.0391589512055295e-06
56,16,64,0.01,1.0,0.0,8.094310760498047e-05,1.1093511699802248e-06
57,16,64,0.001,1.0,0.0,8.130073547363281e-05,1.1825176971089596e-06
58,16,64,0.0001,1.0,0.0,8.084774017333985e-05,1.2591119696150677e-06
59,16,64,1e-05,1.0,0.0,8.130073547363281e-05,1.2015917938570168e-06
60,16,64,1e-06,1.0,0.0,8.25643539428711e-05,4.848814955741124e-06
61,16,64,1e-07,1.0,0.0,8.113384246826172e-05,1.1970892153390113e-06
62,16,64,1e-08,1.0,0.0,8.082389831542969e-05,1.530342725360986e-06
63,16,128,1.0,1.0,0.0,8.165836334228516e-05,2.032160028205875e-06
64,16,128,0.1,1.0,0.0,8.156299591064454e-05,1.0525579478570992e-06
65,16,128,0.01,1.0,0.0,8.151531219482421e-05,9.740208728702304e-07
66,16,128,0.001,1.0,0.0,8.220672607421875e-05,3.421618118459747e-06
67,16,128,0.0001,1.0,0.0,8.263587951660157e-05,2.478177349126107e-06
68,16,128,1e-05,1.0,0.0,8.203983306884766e-05,1.7404556274414062e-06
69,16,128,1e-06,1.0,0.0,8.14199447631836e-05,1.2627184559693681e-06
70,16,128,1e-07,1.0,0.0,8.320808410644531e-05,3.141340082550164e-06
71,16,128,1e-08,1.0,0.0,8.151531219482421e-05,8.626009233057758e-07
72,64,4,1.0,1.0,0.0,9.541511535644531e-05,5.818390373354372e-06
73,64,4,0.1,1.0,0.0,9.391307830810546e-05,1.383855043500085e-06
74,64,4,0.01,1.0,0.0,9.453296661376953e-05,2.0709504950741737e-06
75,64,4,0.001,1.0,0.0,9.350776672363281e-05,1.0967254638671874e-06
76,64,4,0.0001,1.0,0.0,9.357929229736328e-05,1.1837188327127847e-06
77,64,4,1e-05,1.0,0.0,9.369850158691406e-05,1.1680077279964342e-06
78,64,4,1e-06,1.0,0.0,9.334087371826172e-05,1.6561083781063323e-06
79,64,4,1e-07,1.0,0.0,9.336471557617188e-05,1.3951052511527817e-06
80,64,4,1e-08,1.0,0.0,9.403228759765624e-05,2.7889878875522156e-06
81,64,16,1.0,1.0,0.0,9.484291076660157e-05,3.3341114247156792e-06
82,64,16,0.1,1.0,0.0,9.644031524658203e-05,7.06881937452028e-06
83,64,16,0.01,1.0,0.0,9.682178497314454e-05,5.48720243260456e-06
84,64,16,0.001,1.0,0.0,9.355545043945312e-05,1.280376585206752e-06
